Item Number,Item,Item Tagged with Number for Copy/Pasting,2022 RFP Inclusion Status,Item Owner,Validated by Owner,Location (Statewide vs. targeted cities/counties/ZIPS),Health Plan Contact(s),National Contact(s),Functional Area,Description (CAPABILITY DESCRIPTION),"Selling Points (HOW IT'S IMPORTANT TO NM)
- What does the state want to hear about this?
- How can we best explain the value of this?",Population Impacted/Targeted,"Data Demonstrating Effect
- Consider both outcome metrics (e.g. improved utilization rates or quality metrics) and process metrics (number of members/providers engaged, activities performed, etc.)
INTENDED RESULTS/PROOF POINT","Data Demonstrating Need
- What data best illustrates the problem this solution is solving?
WHY? (Pop Health data/Go to Market)",Link to Documentation,Existing or New in RFP,Table Stakes or Differentiation,"PopHealth Strategy: Empower Members
(direct-to-member)","PopHealth Strategy: Evolve Care
(provider & health system)","PopHealth Strategy: Engage Communities
(beyond our members/ providers)",Maternity and NICU,Access to Care,LTSS,SDOH,Care Coordination,Justice Involved,Member Experience,CISC (Children in State Custody),Native Americans,Young Adult_Kids,Community_Based_HP,Behavioral Health,Notes/Comments,VAB Flag ,Clinical Integration ,PMPM,DOA Capital Size
Err:522,Olweus Bullying Prevention Program,Olweus Bullying Prevention Program (RFP Cat. #172),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,either fund a HP person to be trained and work with schools or fund a school position in school with high bullying issues: Olweus Bullying Prevention Program. school-based bullying prevention program for grades K-12. Adults are trained to conduct the programs in schools and have ongoing programming and support. Recommendation is for funding of the program in schools and/or to provide a training consultant in markets. (Full strategy to be built),Helps decrease ACES and diseases of despair by teaching children prosocial behavior and providing support throughout the school system,Kids and Young Adults/ CISC,"Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://olweus.sites.clemson.edu/,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,Member support_Intervention,Empowering Kids/Young Adults to become their better self,,,,Confirm with Heidi - Yes? ,,,
Err:522,Tevor Project,Tevor Project (RFP Cat. #173),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,"provides mental health support and advocacy for LGBTQ+ youth. Funding and volunteerism with this program help support the wellbeing of adolescents in need of support, furthering prevention of mental health and SDOH issues for these youth","Funding provided specifically to support LGBTQ+ youth with advocacy and mental health support, which will help decrease their depression, suicidality and exposure to ACES",Kids and Young Adults/ CISC,"Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://www.thetrevorproject.org/,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,,,Confirm with heidi - Yes? ,,,
Err:522,Play works,Play works (RFP Cat. #174),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,"Program that teaches healthy conflict resolution, supports academic success, self-awareness, and leadership skills (Full strategy needs to be built - social responsibility team may have had some engagement)","Program helps decrease health risks such as obesity by helping kids stay active, decreases bullying behavior through classroom and playground conflict resolution and positive leadership activity programs, and supports overall well-being to decrease diseases of despair",Kids and Young Adults/ CISC,"Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://www.playworks.org/,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,,,Confirm with heidi - No? ,,,
Err:522,Car seats,Car seats (RFP Cat. #175),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,,,Pregnant Members. Kids and young Adults/CISC/ Native Americans,,,,New in RFP,Table Stakes,X,,,Perinatal Care Management,,,Empower Members,,,,Supporting kids and Young Adults to thrive,Member support_Intervention,Reducing SDOH Barriers,,,,Yes,,,
Err:522,Respite Support,Respite Support (RFP Cat. #176),In Consideration,,,Statewide,Tracy Townsend,Ann Strenger,Value-Added Benefit,Description: Provision of caregiver funding to support an informal caregiver needing respite support. Target Population: Caregiver support for those in the LTSS program. ,,Caregiver support for those in the LTSS program.,LTSS Benefit,,,New in RFP,Table Stakes,X,,,,,Support Caregivers & Families ,,,,,,,,,,,Yes,,,
Err:522,CARES Peer support,CARES Peer support (RFP Cat. #177),In Consideration,,,Statewide,Tracy Townsend,Sue Tonkin,Value-Added Benefit,"Technology-based intervention that links together former caregivers with current caregivers. When connecting with former caregivers who understand the experience of the current caregiver, this can reduce feelings of burden, stress and burnout. It offers training for coping skills, understanding aging and mental health resources, acceptance technics and prompts for life review",,Caregiver support for those in the LTSS program.,,,,New in RFP,Differentiator,X,,,,,Support Caregivers & Families ,,,,,,,,,,,Yes,,,
Err:522,Quality Service Review,Quality Service Review (RFP Cat. #178),Committed,Kate Gibbons,,Statewide,Tracy Townsend,,Analytics,- support by funding and expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,
Err:522,Treat First,Treat First (RFP Cat. #179),Committed,Kate Gibbons,,Statewide,Tracy Townsend,,Provider Support,- support by funding and expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,
Err:522,Integrated Risk Stratification,Integrated Risk Stratification (RFP Cat. #180),Committed,Kerianne Guth,,Statewide,Tracy Townsend,,Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Err:522,Member Services Meeting BH Needs,Member Services Meeting BH Needs (RFP Cat. #181),Committed,,,,,,,"Decentralized, local member service agents know the individual member risk strat level, are responsive to language preference, and screen for BH and social needs to make hyper-local referrals ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Err:522,Community Paramedicine Pilot Program,Community Paramedicine Pilot Program (RFP Cat. #182),Committed,Jennifer Ziegler,,,Drew Peterson,,Care Management,"- Pilot program from Wisconsin targetting High ED users with the goal of engaging high needs members and avoiding ED/IP utilization
- Health plan identifies high ED utilizers for engagement by communtiy paramedicine team. Members consenting to program will receive 4 in-home visits that includes home and member assessments, labs/vitals, and referrals back to HP care management team
- Program was recently piloted in WI ","- UHC comittment to expand workforce capacity and access of care by utlizing community paramedicine to deliver care in-home.
- Demonstarted impact on reducing ED utilization",High ED utilizers,"High utilizers engaged in WI program experienced the following
- 42% reduction in ED spend
- 85% reduction in IP spend
- 42% reduction in total cost of care",,https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Community%20Paramedicine%20-%20WI%20Porgram?csf=1&web=1&e=rArjMW,New in RFP,,X,,,,In-home,,,,,,,,,Community Investment,,,,,,
Err:522,Roadrunner food bank ,Roadrunner food bank  (RFP Cat. #183),Committed,Linda Atencio,,Southern NM,Drew Peterson,,Other,Roadrunner is currently in the planning stages for launching Healthy Foods Express (HFE) Mobile Markets in southern NM. We recently purchased a building in Las Cruces that will serve as a base for the HFE mobile markets and are in the process of preparing it for occupancy. We have also begun discussions with potential partners for the HFE mobile markets.  ,"The Childhood Hunger Initiative in Roswell and the Healthy Foods Express Mobile Markets will be continued; however, they may require more funding if supply chain issues and inflation continue to cause Roadrunner’s operating costs to rise. The most significant impact has been on our food and fleet costs. Roadrunner works with manufacturers, growers, and wholesalers to coordinate the donation or low-cost purchase of food. Whether food is donated or purchased, Roadrunner incurs expenses to safely transport the food to our warehouse in Albuquerque. Supply chain disruptions and inflation have caused a decline in the availability of donated food, as well as an increase in the cost to transport any donated food to our 
warehouse. In addition, federal funding for food has declined precipitously. Roadrunner must now purchase more food to compensate for lower levels of federally funded as well as privately donated food, while food prices, even with Roadrunner’s volume and discounted pricing, have continued to increase. The costs to operate our fleet of refrigerated tractor trailers and box trucks that deliver food from our warehouse to our food distribution sites have also increased significantly",All,"“[The program] has been a blessing for the families of Sunset Elementary School. The families all know when the truck
gets here and to line up. We have seen these parents for years, especially if they have a couple of kids in this school.
The children I think are the ones that benefit from this more because sometimes parents cannot afford the veggies or
the fruit that they receive. I am thankful that I have very loyal volunteers that are with me every month, if it wasn’t for
their help we would not have been able to have done this for this long. And also the funding that we get from United
Healthcare is what keeps this going for these families. Families are so happy to see the truck coming and us there. Some
even have my phone number -- don’t know how that happened but word of mouth spreads fast -- for that we are
grateful because all the food is distributed at this school. This would not have been possible if not for United Healthcare.
My volunteers and I thank you for everything you have done for this school and the families, especially the children.”",,"https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/02.%20RFP%20Readiness/04.%20NM%20Investments/Roadrunner%20Food%20Bank_RFP%20Quote,%20Release%20and%20Reporting?csf=1&web=1&e=lmetW2",Existing,Table Stakes,X,,,,,,Empower Members,,,Empower Members_SDOH elimination,,,,,,,,,,
Err:522,Youth Advisory Board/Council,Youth Member Advisory Council (RFP Cat. #184),Committed,Arturo Cruz,,state-wide,,,Community Engagement,"- UHC will will drive community-informed care and strategies by using a youth member advisory councils to create a continual feedback loop between members, communities, and the health plan. 
All Boards: 
•	Each board will aim to have 6-10 participants, with demographic and regional make-up reflective of our membership. 
•	Each board will meet quarterly (or semi-annually? Could just say on recurring basis) with in-person and virtual options for members to join 
•	The meeting location will rotate to each region, utilizing our co-located HUB office locations in each region as meeting space
•	Meetings will provide food/drink and childcare, and we will incentivize participants for their time with gift cards for members and youth advisory board. 
•	We will use these Boards to review and inform programs, strategies, member or provider materials, etc. They will serve as focus groups of sorts, providing user input and feedback on our proposed or live activities. 
Youth Advisory Council/Board: 
•	We will collaborate with YMCA and Central New Mexico Community College to support recruitment of Youth Advisory Board members and create leadership development opportunities for our participants – there will be 2-way referral with these partners. 
o	The YMCA’s Youth Leadership and Governance program and CNM’s Office for Student Workforce Success will refer interested participants to our Advisory Board
o	We will bring these entities into our Youth Advisory Board to speak about opportunities (scholarships, career tracks, etc. by CNM) and facilitate learning and leadership training (by YMCA). ","- Answer the state’s call for generational change and a revolution in primary care by engaging memebrs, communities, and partners in decision making.",Youth,,,,New in RFP,,X,,X,,,,,,,,,,,Continual Feedback Loop,,,,,,
